CustomerId,Complaint,ComplaintNumber,ProcessedComplaint,ComplaintLength,Sentiment,KeyVerbsCount,KeyNounsCount,KeyAdjectivesCount
9565-DJPIB,"The streaming TV service frequently buffers or crashes, making it impossible for me to watch anything without interruptions. This has been ongoing despite my high monthly charges, and I am very frustrated with the lack of reliability.",1,streaming tv service frequently buffers crashes making impossible watch anything without interruptions ongoing despite high monthly charges frustrated lack reliability,234,-0.3291666666666666,3,3,2
4342-HFXWS,"The DSL internet service has been inconsistent lately, with frequent slowdowns during peak hours. This is making it difficult for my family to complete their tasks online.",1,dsl internet service inconsistent lately frequent slowdowns peak hours making difficult family complete tasks online,171,-0.15,1,2,3
4342-HFXWS,"The streaming TV service often buffers excessively, even though I have a stable internet connection. This ruins the experience for my family.",2,streaming tv service often buffers excessively even though stable internet connection ruins experience family,141,-0.2,2,3,1
4342-HFXWS,"Despite having tech support included, it takes a long time to get in touch with a representative when I call for assistance.",3,despite tech support included takes long time get touch representative call assistance,124,-0.05,1,1,1
4342-HFXWS,"The device protection plan I pay for did not cover a recent issue with my router, and I had to pay out of pocket for repairs.",4,device protection plan pay cover recent issue router pay pocket repairs,125,0.0,0,1,0
4342-HFXWS,"I requested a paper bill for my records, but the bills are often delayed, making it hard to keep track of my payments.",5,requested paper bill records bills often delayed making hard keep track payments,118,-0.2916666666666667,1,0,0
8988-ECPJR,"The internet service has been very inconsistent, with frequent outages and slow speeds, making it difficult to complete important tasks. This has been an ongoing issue despite being a loyal customer for 34 months.",1,internet service inconsistent frequent outages slow speeds making difficult complete important tasks ongoing issue despite loyal customer months,213,0.047619047619047616,1,4,4
8988-ECPJR,I was disappointed to find out that there is no tech support available to help resolve my connectivity issues. It’s frustrating to pay for a premium service without proper assistance when problems arise.,2,disappointed find tech support available help resolve connectivity issues frustrating pay premium service without proper assistance problems arise,203,-0.1875,1,3,1
8988-ECPJR,"The monthly charges are too high for the limited services provided, especially since I don’t even have Online Security or Device Protection. I feel like I’m not getting good value for my money.",3,monthly charges high limited services provided especially since dont even online security device protection feel like im getting good value money,193,0.19714285714285712,1,2,2
1567-DSCIC,"The internet speed with your fiber optic service has been consistently poor, especially when I try to use Streaming TV. This is unacceptable for the high monthly charges I'm paying.",1,internet speed fiber optic service consistently poor especially try use streaming tv unacceptable high monthly charges paying,181,-0.08,2,4,5
1567-DSCIC,"When I contacted customer support about the slow internet, I was told there was no issue on your end, but the problem still hasn't been resolved. This lack of assistance is incredibly frustrating.",2,contacted customer support slow internet told issue end problem still resolved lack assistance incredibly frustrating,196,-0.35000000000000003,2,4,1
7722-CVFXN,"The internet speed on my fiber optic connection has been inconsistent lately, especially during peak hours, which disrupts my streaming services and online activities. I expect better service considering the high monthly charges.",1,internet speed fiber optic connection inconsistent lately especially peak hours disrupts streaming services online activities expect better service considering high monthly charges,229,0.22,2,4,5
4686-GEFRM,"The streaming movies service frequently buffers or fails to load content, despite having a high-speed fiber optic connection. This has been a recurring issue and needs immediate attention.",1,streaming movies service frequently buffers fails load content despite highspeed fiber optic connection recurring issue needs immediate attention,188,-0.2,2,3,1
5553-AOINX,"The streaming services I signed up for frequently buffer and have poor quality, even though I pay for high-speed fiber optic internet. This is incredibly frustrating, especially given the high monthly charges I am already paying.",1,streaming services signed frequently buffer poor quality even though pay highspeed fiber optic internet incredibly frustrating especially given high monthly charges already paying,229,-0.10800000000000001,4,3,5
9360-AHGNL,"The streaming services I signed up for frequently buffer or fail to load altogether, even though I’m paying for high-speed fiber optic internet.",1,streaming services signed frequently buffer fail load altogether even though im paying highspeed fiber optic internet,144,-0.2,2,2,2
9360-AHGNL,"Despite having tech support included in my plan, it took days to get a response when I reported my internet connection dropping multiple times a day.",2,despite tech support included plan took days get response reported internet connection dropping multiple times day,149,0.0,1,2,2
9360-AHGNL,"The monthly charges for my services keep increasing, and I don’t feel I’m getting value for the amount I’m paying.",3,monthly charges services keep increasing dont feel im getting value amount im paying,114,0.0,1,2,1
9360-AHGNL,"I’ve had to call multiple times to resolve billing discrepancies, but the issue keeps recurring, and it’s incredibly frustrating.",4,ive call multiple times resolve billing discrepancies issue keeps recurring incredibly frustrating,129,-0.2,1,1,0
